HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL,I_WM,I_WM_p,I_WA,I_WA_p,I_WK,I_WK_p,Gi_WM_z,Gi_WM_p,Gi_WA_z,Gi_WA_p,Gi_WK_z,Gi_WK_p,mk_tau,mk_p,EHSA
H1644,0,0,0,0.17077520189103015,0.4080177562909884,0.1312403111890101,0.46826000361036674,NA,NA,-0.8273869827863918,0.40801775629098863,-0.7253130466966894,0.46826000361036674,NA,NA,1,1,Not_Significant
H1645,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H1646,372,6338,0,0.11610629999583746,0.4748799452126022,0.013001765487846246,0.8285605911702473,NA,NA,-0.714561655970833,0.4748799452126025,-0.2165480293255256,0.8285605911702472,NA,NA,1,1,Not_Significant
H1647,186,1013,0,0.021571225480323836,0.8959322706502838,-0.04478927871768936,0.7379972527268082,NA,NA,-0.13080158306783188,0.8959322706502838,0.33450667774576914,0.7379972527268083,NA,NA,1,1,Not_Significant
H1648,6596,24442,0,-0.03574672296242838,0.5732115883362515,0.03826143819064007,0.8401638314270922,NA,NA,0.5633279511486702,0.5732115883362517,0.20168392362314538,0.8401638314270923,NA,NA,-1,1,Not_Significant
H1649,26430,18473,0,0.36987599964697443,0.14286295596870832,0.050006372035611035,0.6422651933333443,NA,NA,1.4652124790559844,0.1428629559687083,0.4645340175269917,0.6422651933333445,NA,NA,-1,1,Not_Significant
H1650,0,0,0,-0.12952724086299938,0.4424500045483425,-0.05675568819182419,0.7011974080366736,NA,NA,0.7680625838761461,0.4424500045483426,0.38370459296893555,0.7011974080366737,NA,NA,-1,1,Not_Significant
H1651,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H1652,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1653,0,0,0,0.1697741668389723,0.31349248374791794,0.11826363242538859,0.4231625629781569,NA,NA,-1.0079208032197482,0.313492483747918,-0.8009465962574156,0.4231625629781568,NA,NA,1,1,Not_Significant
